Unique Student Key,Sport,Season,Term,Unique Section Key by Term,Subject,Course Number,Credits,Grade,Grade Points,Living,Graduated,Home State
296652,L,WI,201210,33414,017,CMC,1,W,0,YY,Y,PA
296652,D,OU,201210,33414,017,CMC,1,W,0,YY,Y,PA
305658,U,OU,201210,28582,048,CAL,3,W,0,YY,Y,NJ
336756,J,WI,201210,21340,017,CCM,1,P,0,YY,Y,NJ
340480,P,IN,201210,28972,140,YLY,4,W,0,YY,Y,PA
340696,F,IN,201210,29754,048,CMP,3,W,0,YY,Y,PA
348208,D,OU,201210,21132,048,YAE,3,W,0,YY,Y,MD
348208,L,WI,201210,21132,048,YAE,3,W,0,YY,Y,MD
348820,S,IN,201210,19390,053,CYY,3,W,0,YY,Y,NJ
352108,Z,OU,201210,20060,102,CLM,3,W,0,YY,Y,MI
352280,M,WI,201210,32632,102,CDY,4,F,0,YY,N,PA
352594,R,OU,201210,19390,053,CYY,3,F,0,YY,N,PA
360706,P,IN,201210,32634,102,CDY,4,F,0,YY,Y,NH
368640,L,WI,201210,30820,124,HML,4,F,0,YY,N,VT
368640,L,WI,201210,33170,124,HYX,4,*F,0,YY,N,VT
368640,L,WI,201210,33134,149,YAL,4,W,0,YY,N,VT
372548,P,IN,201210,28774,056,YME,4,*F,0,YY,Y,NJ
372548,P,IN,201210,20716,129,CCY,4,*F,0,YY,Y,NJ
372548,P,IN,201210,28586,048,CAL,3,W,0,YY,Y,NJ
377854,P,IN,201210,33404,129,YPE,1,WF,0,YY,Y,PA
377854,P,IN,201210,30760,029,YYM,3,F,0,YY,Y,PA
380890,R,OU,201210,21340,017,CCM,1,P,0,YY,Y,PA
380890,R,OU,201210,28272,019,CAY,3,WP,0,YY,Y,PA
381628,J,WI,201210,19140,003,YLM,3,W,0,YY,Y,PA
382290,P,IN,201210,24786,121,CMY,4,W,0,YY,Y,AK
383350,B,WI,201210,30322,129,YXE,4,F,0,XX,Y,NJ
383350,B,WI,201210,30732,029,CHC,4,W,0,XX,Y,NJ
388592,K,IN,201210,21852,020,YYY,3,W,0,YY,Y,
390742,E,OU,201210,27312,106,CCH,3,W,0,YY,N,PA
391132,A,IN,201210,21284,129,YMY,4,W,0,XX,Y,VA
391174,Y,WI,201210,28268,019,CAY,3,W,0,YY,Y,KS
391174,Y,WI,201210,21340,017,CCM,1,P,0,YY,Y,KS
391222,E,OU,201210,21340,017,CCM,1,P,0,YY,N,PA
394574,P,IN,201210,19974,102,CMM,4,W,0,YY,Y,PA
397656,Y,WI,201210,33066,060,YPD,1,W,0,YY,Y,PA
402878,Y,WI,201210,29742,048,CMP,3,W,0,YY,Y,NY
402878,Y,WI,201210,32638,102,CDY,4,F,0,YY,Y,NY
403230,W,WI,201210,20060,102,CLM,3,W,0,YY,Y,OH
403298,J,WI,201210,19938,102,CMY,4,W,0,YY,Y,PA
403674,P,IN,201210,19998,102,CMM,4,W,0,YY,Y,PA
403750,L,WI,201210,19340,019,HAE,2,W,0,YY,Y,NJ
403812,E,OU,201210,21340,017,CCM,1,P,0,YY,Y,PA
403914,Y,WI,201210,21340,017,CCM,1,P,0,YY,Y,NJ
403914,Q,OU,201210,21340,017,CCM,1,P,0,YY,Y,NJ
406036,Z,OU,201210,21340,017,CCM,1,P,0,YY,Y,LA
406742,J,WI,201210,29748,048,CMP,3,W,0,YY,Y,NJ
408030,E,OU,201210,21886,009,CCY,4,F,0,YY,N,PA
410154,A,IN,201210,18798,026,CAA,3,W,0,YY,Y,PA
410596,D,OU,201210,19470,056,CCM,3,F,0,YY,Y,NY
410596,L,WI,201210,19470,056,CCM,3,F,0,YY,Y,NY
412684,E,OU,201210,20716,129,CCY,4,W,0,YY,Y,NJ
414426,G,IN,201210,20716,129,CCY,4,W,0,YY,N,CT
420346,P,IN,201210,19992,102,CMM,4,W,0,YY,Y,OK
420346,P,IN,201210,21340,017,CCM,1,P,0,YY,Y,OK
420526,P,IN,201210,27316,106,CCH,3,W,0,YY,Y,VA
422522,P,IN,201210,21340,017,CCM,1,P,0,YY,Y,CO
423618,E,OU,201210,19968,102,CMM,4,F,0,YY,Y,PA
423738,L,WI,201210,30118,102,CMM,4,*F,0,YY,Y,NJ
424036,E,OU,201210,33228,078,CAM,4,W,0,YY,Y,PA
424110,E,OU,201210,32636,102,CDY,4,W,0,YY,Y,OH
424366,E,OU,201210,19936,102,CMY,4,W,0,YY,Y,OH
424474,J,WI,201210,32676,056,CYY,3,F,0,YY,N,NJ
425206,E,OU,201210,19994,102,CMM,4,W,0,YY,Y,NY
430166,W,WI,201210,27570,137,CYC,2,CR,0,YY,Y,CO
430166,W,WI,201210,27582,137,CLC,3,CR,0,YY,Y,CO
430200,M,WI,201210,28274,019,CAY,3,W,0,YY,Y,PA
431276,J,WI,201210,19296,152,CMX,2,W,0,YY,Y,NJ
431656,X,IN,201210,21340,017,CCM,1,P,0,YY,Y,OR
432574,L,WI,201210,19996,102,CMM,4,W,0,YY,Y,MD
435600,J,WI,201210,19982,102,CMM,4,W,0,YY,Y,PA
436994,F,IN,201210,33280,048,CAL,3,F,0,YY,Y,PA
437816,D,OU,201210,24326,129,YEY,1,W,0,YY,Y,MD
437816,L,WI,201210,24326,129,YEY,1,W,0,YY,Y,MD
437924,L,WI,201210,30128,102,CMM,4,F,0,YY,N,PA
440602,L,WI,201210,20010,102,CMM,4,W,0,YY,Y,NJ
440602,D,OU,201210,20010,102,CMM,4,W,0,YY,Y,NJ
441918,P,IN,201210,19954,102,CMM,4,WP,0,YY,Y,MD
448276,Y,WI,201210,21340,017,CCM,1,P,0,YY,Y,PA
449158,T,IN,201210,19958,102,CMM,4,WP,0,YY,Y,PA
451888,B,WI,201210,20716,129,CCY,4,F,0,YY,Y,NY
451888,B,WI,201210,19444,056,CCM,3,F,0,YY,Y,NY
453584,M,WI,201210,33088,131,CXL,4,F,0,YY,N,PA
453584,M,WI,201210,32432,048,CCY,4,*F,0,YY,N,PA
453584,M,WI,201210,19390,053,CYY,3,*F,0,YY,N,PA
471874,A,IN,201210,29490,048,CMP,3,W,0,YY,Y,VA
472452,D,OU,201210,32632,102,CDY,4,W,0,YY,Y,NJ
472452,L,WI,201210,32632,102,CDY,4,W,0,YY,Y,NJ
476048,K,IN,201210,32424,048,CCY,4,F,0,YY,Y,NY
484062,X,IN,201210,28270,019,CAY,3,F,0,YY,Y,CA
484310,L,WI,201210,20716,129,CCY,4,W,0,YY,Y,NY
484310,D,OU,201210,20716,129,CCY,4,W,0,YY,Y,NY
485092,J,WI,201210,33370,129,CCY,4,W,0,YY,Y,NY
490058,E,OU,201210,28274,019,CAY,3,F,0,YY,Y,NJ
490058,E,OU,201210,20060,102,CLM,3,W,0,YY,Y,NJ
490096,Y,WI,201210,19500,056,CCM,3,WF,0,YY,N,PA
490096,Y,WI,201210,32422,048,CCY,4,F,0,YY,N,PA
490096,Y,WI,201210,28576,048,CAL,3,F,0,YY,N,PA
490096,Y,WI,201210,19940,102,CMY,4,W,0,YY,N,PA
490516,E,OU,201210,19260,152,CMM,2,W,0,YY,N,NJ
490516,E,OU,201210,21886,009,CCY,4,F,0,YY,N,NJ
493162,P,IN,201210,21340,017,CCM,1,P,0,YY,Y,
497292,B,WI,201210,30118,102,CMM,4,W,0,YY,N,IL
501988,E,OU,201210,19940,102,CMY,4,W,0,YY,N,CT
141334972,A,IN,201210,32656,015,CCX,3,F,0,XX,N,PA
141334972,A,IN,201210,21284,129,YMY,4,F,0,XX,N,PA
141394750,E,OU,201210,20716,129,CCY,4,W,0,XX,N,OH
141394750,E,OU,201210,31762,120,YYA,4,W,0,XX,N,OH
141394750,E,OU,201210,22228,117,YEY,3,W,0,XX,N,OH
141394750,E,OU,201210,30612,044,MAD,4,W,0,XX,N,OH
141395330,M,WI,201210,24952,048,CCY,4,W,0,XX,Y,MD
141397504,Y,WI,201210,33002,079,HAY,4,P,0,XX,Y,TX
141401044,L,WI,201210,18900,117,CYY,2,W,0,XX,Y,MA
141408476,E,OU,201210,33424,085,HLL,3,W,0,YY,Y,PA
141408496,E,OU,201210,33204,020,HHL,3,F,0,XX,Y,FL
141459962,E,OU,201210,30156,019,YHC,4,W,0,XX,Y,NY
141460652,E,OU,201210,19916,102,CCL,3,W,0,YY,Y,PA
141461080,E,OU,201210,19154,003,HYL,3,W,0,YY,Y,FL
141461080,E,OU,201210,19164,003,HMA,3,F,0,YY,Y,FL
141466662,J,WI,201210,19154,003,HYL,3,W,0,XX,Y,NJ
141466662,J,WI,201210,33586,078,CCD,4,W,0,XX,Y,NJ
141466924,G,IN,201210,32938,078,HPL,4,W,0,XX,Y,CA
141467802,G,IN,201210,32634,102,CDY,4,*F,0,YY,Y,NY
141509998,R,OU,201210,30118,102,CMM,4,W,0,YY,N,PA
141520922,E,OU,201210,20060,102,CLM,3,W,0,YY,Y,MD
141520948,E,OU,201210,33154,120,CCL,4,W,0,YY,Y,PA
141526220,E,OU,201210,26232,010,CCM,4,W,0,YY,Y,NJ
141526318,E,OU,201210,19602,078,CMM,4,W,0,YY,Y,PA
141526380,E,OU,201210,30322,129,YXE,4,W,0,YY,Y,FL
141526638,H,OU,201210,21886,009,CCY,4,F,0,XX,Y,PA
141529324,E,OU,201210,20060,102,CLM,3,W,0,YY,Y,MD
141529528,E,OU,201210,19128,003,YLY,3,F,0,YY,Y,OH
141532060,A,IN,201210,29722,048,CCY,4,W,0,YY,Y,MI
141537150,B,WI,201210,19602,078,CMM,4,W,0,YY,Y,TX
72192,E,OU,201210,21582,025,MAM,3,D-,0.7,XX,Y,LA
151114,L,WI,201210,21186,043,HMX,3,D-,0.7,XX,Y,NJ
194954,T,IN,201210,19146,003,YLM,3,D-,0.7,XX,Y,NJ
244048,E,OU,201210,21138,048,YAE,3,D-,0.7,YY,N,MD
266980,L,WI,201210,18932,101,CHH,3,D-,0.7,YY,Y,PA
328142,A,IN,201210,20090,102,MCL,3,D-,0.7,YY,Y,PA
328204,Y,WI,201210,28990,129,YLH,4,D-,0.7,YY,Y,ME
328204,Q,OU,201210,28990,129,YLH,4,D-,0.7,YY,Y,ME
352594,R,OU,201210,30434,009,YMY,4,D-,0.7,YY,N,PA
408030,E,OU,201210,19602,078,CMM,4,D-,0.7,YY,N,PA
408030,E,OU,201210,28586,048,CAL,3,D-,0.7,YY,N,PA
453584,M,WI,201210,28582,048,CAL,3,D-,0.7,YY,N,PA
490326,E,OU,201210,19390,053,CYY,3,D-,0.7,YY,N,NJ
490348,E,OU,201210,31448,102,CYM,4,D-,0.7,YY,N,OH
490516,E,OU,201210,19602,078,CMM,4,D-,0.7,YY,N,NJ
497838,E,OU,201210,30126,102,CMM,4,D-,0.7,YY,N,PA
141334972,A,IN,201210,32938,078,HPL,4,D-,0.7,XX,N,PA
141396504,E,OU,201210,32254,105,MAL,3,D-,0.7,XX,Y,PA
141400900,P,IN,201210,23006,064,CYM,4,D-,0.7,YY,Y,NJ
141400900,P,IN,201210,24956,003,YLM,3,D-,0.7,YY,Y,NJ
141401044,L,WI,201210,31278,056,YPY,4,D-,0.7,XX,Y,MA
141405664,R,OU,201210,33312,105,CMY,1,D-,0.7,XX,Y,NJ
141460184,G,IN,201210,19146,003,YLM,3,D-,0.7,XX,Y,NY
141470342,V,IN,201210,28388,063,HMH,3,D-,0.7,XX,Y,CA
141526638,H,OU,201210,19936,102,CMY,4,D-,0.7,XX,Y,PA
72192,E,OU,201210,21564,025,YYX,2,D,1,XX,Y,LA
151114,L,WI,201210,19126,003,YLY,3,D,1,XX,Y,NJ
155938,F,IN,201210,20716,129,CCY,4,D,1,XX,Y,PA
179770,A,IN,201210,33304,078,YMC,4,D,1,XX,N,PA
194954,T,IN,201210,21144,048,YAE,3,D,1,XX,Y,NJ
201666,G,IN,201210,27408,053,CCA,1,D,1,XX,Y,CT
203004,E,OU,201210,19146,003,YLM,3,D,1,XX,Y,FL
205626,E,OU,201210,32154,087,CXA,4,D,1,XX,Y,NY
251088,Y,WI,201210,19040,105,YCA,3,D,1,YY,Y,PA
263440,E,OU,201210,20090,102,MCL,3,D,1,YY,Y,PA
266980,L,WI,201210,19180,106,CYM,3,D,1,YY,Y,PA
270938,F,IN,201210,28670,029,YPA,3,D,1,YY,Y,NY
284494,R,OU,201210,28992,145,YLH,4,D,1,YY,Y,PA
284526,A,IN,201210,21284,129,YMY,4,D,1,XX,Y,VA
300444,E,OU,201210,30922,035,YXE,4,D,1,YY,Y,PA
305658,U,OU,201210,21284,129,YMY,4,D,1,YY,Y,NJ
352108,Z,OU,201210,25272,019,CAY,3,D,1,YY,Y,MI
360178,L,WI,201210,20060,102,CLM,3,D,1,YY,Y,FL
373322,Y,WI,201210,25272,019,CAY,3,D,1,YY,N,NJ
375636,T,IN,201210,25268,019,CAY,3,D,1,YY,Y,NJ
377854,P,IN,201210,30322,129,YXE,4,D,1,YY,Y,PA
380902,H,OU,201210,20076,102,CXE,2,D,1,YY,N,PA
382966,S,IN,201210,30686,029,CHC,4,D,1,YY,Y,NJ
390742,E,OU,201210,21568,025,YXC,4,D,1,YY,N,PA
390742,E,OU,201210,20014,102,CMH,4,D,1,YY,N,PA
391132,A,IN,201210,26866,063,YML,3,D,1,XX,Y,VA
409554,T,IN,201210,19954,102,CMM,4,D,1,YY,Y,NY
411056,J,WI,201210,21566,025,YXC,4,D,1,YY,Y,PA
413680,L,WI,201210,30736,029,CHC,4,D,1,YY,N,MA
413680,L,WI,201210,19938,102,CMY,4,D,1,YY,N,MA
417942,E,OU,201210,32152,087,CYC,4,D,1,YY,Y,NJ
423866,L,WI,201210,32426,048,CCY,4,D,1,YY,Y,NY
429144,J,WI,201210,19998,102,CMM,4,D,1,YY,Y,CT
433996,G,IN,201210,32150,074,CYC,4,D,1,YY,N,AB
436142,G,IN,201210,21886,009,CCY,4,D,1,YY,N,CT
452280,V,IN,201210,28272,019,CAY,3,D,1,YY,Y,CA
453894,M,WI,201210,20076,102,CXE,2,D,1,YY,N,PA
472452,D,OU,201210,29690,048,CAL,3,D,1,YY,Y,NJ
472452,L,WI,201210,29690,048,CAL,3,D,1,YY,Y,NJ
475304,J,WI,201210,32638,102,CDY,4,D,1,YY,Y,NJ
475334,V,IN,201210,28272,019,CAY,3,D,1,YY,Y,CA
478200,P,IN,201210,30686,029,CHC,4,D,1,YY,Y,NY
484310,D,OU,201210,19962,102,CMM,4,D,1,YY,Y,NY
484310,L,WI,201210,19962,102,CMM,4,D,1,YY,Y,NY
496172,J,WI,201210,20002,102,CMM,4,D,1,YY,Y,HI
497292,B,WI,201210,30682,029,CHC,4,D,1,YY,N,IL
502506,E,OU,201210,28586,048,CAL,3,D,1,YY,Y,CA
141401044,L,WI,201210,32656,015,CCX,3,D,1,XX,Y,MA
141526420,E,OU,201210,32636,102,CDY,4,D,1,YY,N,GA
141526420,E,OU,201210,19128,003,YLY,3,D,1,YY,N,GA
141529528,E,OU,201210,20076,102,CXE,2,D,1,YY,Y,OH
141537150,B,WI,201210,19916,102,CCL,3,D,1,YY,Y,TX
73380,M,WI,201210,32254,105,MAL,3,D+,1.3,XX,Y,NY
107406,Y,WI,201210,19160,003,HYX,3,D+,1.3,XX,Y,NJ
107406,Q,OU,201210,19160,003,HYX,3,D+,1.3,XX,Y,NJ
154212,G,IN,201210,33168,124,YPE,4,D+,1.3,YY,Y,CT
232780,L,WI,201210,27618,140,CCM,4,D+,1.3,XX,Y,MD
244048,E,OU,201210,19390,053,CYY,3,D+,1.3,YY,N,MD
244048,E,OU,201210,33154,120,CCL,4,D+,1.3,YY,N,MD
251088,Y,WI,201210,19184,106,CYM,3,D+,1.3,YY,Y,PA
270732,L,WI,201210,20100,102,MHY,3,D+,1.3,YY,Y,PA
271902,Y,WI,201210,20060,102,CLM,3,D+,1.3,XX,Y,PA
315208,Y,WI,201210,19136,003,YLM,3,D+,1.3,YY,Y,NY
315208,Q,OU,201210,19136,003,YLM,3,D+,1.3,YY,Y,NY
334352,T,IN,201210,33776,106,CCH,3,D+,1.3,YY,Y,MD
360706,P,IN,201210,29490,048,CMP,3,D+,1.3,YY,Y,NH
364954,A,IN,201210,32262,106,CYM,3,D+,1.3,YY,Y,PA
366792,R,OU,201210,33776,106,CCH,3,D+,1.3,YY,Y,PA
390538,E,OU,201210,30762,029,YYH,1,D+,1.3,YY,Y,OH
410742,S,IN,201210,25262,019,CAY,3,D+,1.3,YY,Y,CT
413680,L,WI,201210,29240,145,CCY,4,D+,1.3,YY,N,MA
414310,E,OU,201210,20716,129,CCY,4,D+,1.3,YY,Y,NJ
418564,E,OU,201210,20716,129,CCY,4,D+,1.3,YY,Y,NY
141395330,M,WI,201210,27392,053,CCA,1,D+,1.3,XX,Y,MD
141396400,L,WI,201210,33316,105,MAL,3,D+,1.3,XX,Y,NJ
141396790,E,OU,201210,33088,131,CXL,4,D+,1.3,XX,Y,FL
141408478,E,OU,201210,30304,129,YAC,4,D+,1.3,XX,Y,OH
141466482,B,WI,201210,20050,111,HYM,3,D+,1.3,XX,Y,MI
141474080,E,OU,201210,23022,102,MHY,3,D+,1.3,YY,Y,GA
141493682,N,WI,201210,28268,019,CAY,3,D+,1.3,YY,Y,PA
141526220,E,OU,201210,28882,087,MAL,4,D+,1.3,YY,Y,NJ
102774,E,OU,201210,19140,003,YLM,3,C-,1.7,XX,Y,NJ
154328,T,IN,201210,33472,019,YMY,3,C-,1.7,YY,Y,MD
164760,G,IN,201210,31584,063,HMD,3,C-,1.7,YY,Y,NJ
164760,G,IN,201210,28388,063,HMH,3,C-,1.7,YY,Y,NJ
164760,G,IN,201210,26902,003,YLM,3,C-,1.7,YY,Y,NJ
165890,E,OU,201210,20582,101,MCE,3,C-,1.7,YY,Y,NJ
174064,G,IN,201210,24956,003,YLM,3,C-,1.7,XX,Y,MD
174064,G,IN,201210,31588,063,HHE,3,C-,1.7,XX,Y,MD
179770,A,IN,201210,28926,078,CAM,4,C-,1.7,XX,N,PA
179810,U,OU,201210,19202,029,HCX,3,C-,1.7,XX,Y,MA
179810,U,OU,201210,18860,026,MHA,3,C-,1.7,XX,Y,MA
195864,Z,OU,201210,31588,063,HHE,3,C-,1.7,YY,Y,NJ
206134,U,OU,201210,32574,117,MHA,3,*C-,1.7,XX,Y,OH
206740,E,OU,201210,18884,026,MAA,3,C-,1.7,YY,Y,CT
229296,W,WI,201210,19132,003,YLM,3,C-,1.7,XX,Y,NJ
232780,L,WI,201210,19136,003,YLM,3,C-,1.7,XX,Y,MD
247410,V,IN,201210,29708,063,HMH,3,C-,1.7,XX,Y,MA
251088,Y,WI,201210,30132,102,MCL,3,C-,1.7,YY,Y,PA
252170,T,IN,201210,21284,129,YMY,4,C-,1.7,XX,Y,NJ
254828,G,IN,201210,19146,003,YLM,3,C-,1.7,XX,Y,OH
263440,E,OU,201210,18700,121,CMY,4,C-,1.7,YY,Y,PA
267526,H,OU,201210,20060,102,CLM,3,C-,1.7,YY,Y,ME
270588,L,WI,201210,20716,129,CCY,4,C-,1.7,XX,Y,NJ
270732,L,WI,201210,18700,121,CMY,4,C-,1.7,YY,Y,PA
270938,F,IN,201210,19222,029,HXM,3,C-,1.7,YY,Y,NY
273852,Z,OU,201210,20088,102,MCL,3,C-,1.7,XX,Y,PA
279510,M,WI,201210,18960,101,MCL,3,C-,1.7,XX,Y,MD
287888,P,IN,201210,26902,003,YLM,3,C-,1.7,YY,Y,CT
287924,R,OU,201210,30760,029,YYM,3,C-,1.7,XX,Y,PA
342544,Y,WI,201210,30164,019,YHC,4,C-,1.7,YY,N,NY
342772,Y,WI,201210,19140,003,YLM,3,C-,1.7,YY,Y,CT
344626,P,IN,201210,33776,106,CCH,3,C-,1.7,YY,Y,NH
344626,P,IN,201210,19042,105,YCA,3,C-,1.7,YY,Y,NH
347698,L,WI,201210,19044,105,YCA,3,C-,1.7,YY,Y,PA
347698,D,OU,201210,19044,105,YCA,3,C-,1.7,YY,Y,PA
350730,Q,OU,201210,28562,048,CMP,3,C-,1.7,YY,Y,PA
350730,Y,WI,201210,28562,048,CMP,3,C-,1.7,YY,Y,PA
350730,Q,OU,201210,32638,102,CDY,4,C-,1.7,YY,Y,PA
350730,Y,WI,201210,32638,102,CDY,4,C-,1.7,YY,Y,PA
352038,J,WI,201210,20060,102,CLM,3,C-,1.7,YY,Y,PA
352038,J,WI,201210,26682,121,CYH,3,C-,1.7,YY,Y,PA
352594,R,OU,201210,30912,053,CMD,3,C-,1.7,YY,N,PA
352594,R,OU,201210,32950,053,CMY,3,C-,1.7,YY,N,PA
352988,G,IN,201210,19954,102,CMM,4,C-,1.7,YY,Y,NY
364954,A,IN,201210,20090,102,MCL,3,C-,1.7,YY,Y,PA
373486,F,IN,201210,20716,129,CCY,4,C-,1.7,YY,Y,CT
378940,E,OU,201210,33086,131,CCY,4,C-,1.7,YY,Y,NJ
388432,L,WI,201210,20086,102,MCL,3,C-,1.7,YY,N,NJ
389008,M,WI,201210,20060,102,CLM,3,C-,1.7,YY,Y,NJ
390538,E,OU,201210,20230,121,CYH,3,C-,1.7,YY,Y,OH
390742,E,OU,201210,30132,102,MCL,3,C-,1.7,YY,N,PA
402582,K,IN,201210,32026,138,YYM,4,C-,1.7,YY,Y,PA
403674,P,IN,201210,18932,101,CHH,3,C-,1.7,YY,Y,PA
403750,L,WI,201210,19336,019,HAL,3,C-,1.7,YY,Y,NJ
403914,Y,WI,201210,19992,102,CMM,4,C-,1.7,YY,Y,NJ
403914,Q,OU,201210,19992,102,CMM,4,C-,1.7,YY,Y,NJ
406742,J,WI,201210,32586,036,CHC,4,C-,1.7,YY,Y,NJ
410576,P,IN,201210,19966,048,CCY,4,C-,1.7,YY,Y,NJ
410742,S,IN,201210,33370,129,CCY,4,C-,1.7,YY,Y,CT
411056,J,WI,201210,30794,025,MCM,3,C-,1.7,YY,Y,PA
412806,Y,WI,201210,30128,102,CMM,4,C-,1.7,YY,Y,PA
414310,E,OU,201210,28582,048,CAL,3,C-,1.7,YY,Y,NJ
414426,G,IN,201210,21886,009,CCY,4,C-,1.7,YY,N,CT
420346,P,IN,201210,28274,019,CAY,3,C-,1.7,YY,Y,OK
421112,H,OU,201210,25262,019,CAY,3,C-,1.7,YY,N,MA
423618,E,OU,201210,19444,056,CCM,3,C-,1.7,YY,Y,PA
424366,E,OU,201210,24096,121,CYY,4,C-,1.7,YY,Y,OH
424474,J,WI,201210,20716,129,CCY,4,*C-,1.7,YY,N,NJ
424474,J,WI,201210,31870,043,CYD,3,C-,1.7,YY,N,NJ
432094,J,WI,201210,28580,048,CAL,3,C-,1.7,YY,Y,NJ
432574,L,WI,201210,19970,048,CCY,4,C-,1.7,YY,Y,MD
433996,G,IN,201210,21886,009,CCY,4,C-,1.7,YY,N,AB
436994,F,IN,201210,32636,102,CDY,4,C-,1.7,YY,Y,PA
439480,G,IN,201210,28580,048,CAL,3,C-,1.7,YY,Y,NY
451888,B,WI,201210,33154,120,CCL,4,C-,1.7,YY,Y,NY
452248,A,IN,201210,28578,048,CAL,3,C-,1.7,YY,Y,FL
453894,M,WI,201210,31192,029,CHC,4,C-,1.7,YY,N,PA
461262,M,WI,201210,32152,087,CYC,4,C-,1.7,YY,Y,PA
468186,M,WI,201210,32634,102,CDY,4,C-,1.7,YY,Y,PA
471874,A,IN,201210,32634,102,CDY,4,C-,1.7,YY,Y,VA
478200,P,IN,201210,28270,019,CAY,3,C-,1.7,YY,Y,NY
490516,E,OU,201210,33228,078,CAM,4,C-,1.7,YY,N,NJ
493162,P,IN,201210,19994,102,CMM,4,C-,1.7,YY,Y,
501988,E,OU,201210,19460,056,CCM,3,C-,1.7,YY,N,CT
